Model,Test_accuracy,Test_precision_macro,Test_recall_macro,Test_f1_macro,Test_f1_weighted,Test_roc_auc
Skin CNN Basic,0.7478781827259111,0.586594048797069,0.4448313544611506,0.48013712685550874,0.734209205402402,0.9092610047565451
Skin CNN V3 Best,0.5072391412880679,0.1990465159204977,0.26885332751504276,0.21467799716487432,0.525173626601628,0.6564031131708488
CNN + SVM,0.7438841737393909,0.5667915365636877,0.45268019992807706,0.49011187221109626,0.7335424064908946,0.9009022728865927
CNN + RF,0.7593609585621568,0.6834669824818024,0.4401065893896582,0.48572657984190126,0.7381771867069123,0.9150033910665919
CNN + XGB,0.7493759360958562,0.6010596485866285,0.45511360569555054,0.49825735179648784,0.7359917313633756,0.9148453982442596
CNN + Custom XGB,0.7398901647528707,0.5650971420567534,0.4849731397462698,0.5158480313444271,0.7358027938745604,0.914155987704829
PyTorch Hard Mined XGB,0.8592111832251622,0.8349716977050259,0.6553425634667841,0.7226121094655137,0.8501534083638284,0.9717379879992097
